user_id,gender,age,country,subscription_type,listening_time_min,songs_per_day,skip_rate,device_type,ads_per_week,offline_listening_raw,is_churned,churn_label,offline_listening_flag,age_group,listens_per_minute,avg_session_like,ads_exposure_ratio
42,Female,46.0,US,Student,255.0,14.0,0.39,Desktop,0.0,1,0,Active,Yes,45-54,0.054901960784313725,182.14285714285717,0.0
43,Male,22.0,DE,Family,49.0,39.0,0.51,Mobile,0.0,1,0,Active,Yes,18-24,0.7959183673469388,12.564102564102564,0.0
44,Male,37.0,DE,Family,90.0,89.0,0.4,Mobile,0.0,1,0,Active,Yes,35-44,0.9888888888888889,10.112359550561797,0.0
45,Male,39.0,PK,Family,288.0,69.0,0.48,Web,0.0,1,0,Active,Yes,35-44,0.23958333333333334,41.73913043478261,0.0
46,Female,18.0,PK,Premium,255.0,3.0,0.39,Web,0.0,1,0,Active,Yes,18-24,0.011764705882352941,850.0,0.0
47,Female,56.0,CA,Student,255.0,75.0,0.58,Desktop,0.0,1,0,Active,Yes,55-64,0.29411764705882354,34.0,0.0
48,Male,58.0,US,Family,26.0,23.0,0.08,Mobile,0.0,1,0,Active,Yes,55-64,0.8846153846153846,11.304347826086957,0.0
49,Other,59.0,US,Family,238.0,60.0,0.29,Desktop,0.0,1,0,Active,Yes,55-64,0.25210084033613445,39.666666666666664,0.0
50,Male,50.0,PK,Free,241.0,7.0,0.56,Desktop,22.0,0,1,Churned,No,45-54,0.029045643153526972,344.28571428571433,3.142857142857143
51,Female,45.0,CA,Premium,124.0,98.0,0.36,Desktop,0.0,1,0,Active,Yes,45-54,0.7903225806451613,12.653061224489795,0.0
52,Other,56.0,FR,Premium,175.0,67.0,0.38,Web,0.0,1,0,Active,Yes,55-64,0.38285714285714284,26.119402985074625,0.0
53,Female,38.0,AU,Free,41.0,3.0,0.0,Desktop,43.0,0,1,Churned,No,35-44,0.07317073170731707,136.66666666666669,14.333333333333334
54,Male,57.0,DE,Free,222.0,96.0,0.26,Web,15.0,0,0,Active,No,55-64,0.43243243243243246,23.125,0.15625
55,Female,46.0,UK,Family,121.0,71.0,0.32,Desktop,0.0,1,0,Active,Yes,45-54,0.5867768595041323,17.04225352112676,0.0
56,Female,41.0,IN,Family,277.0,2.0,0.59,Web,0.0,1,0,Active,Yes,35-44,0.007220216606498195,1385.0,0.0
57,Other,19.0,IN,Free,107.0,82.0,0.11,Desktop,12.0,0,1,Churned,No,18-24,0.7663551401869159,13.04878048780488,0.14634146341463414
58,Male,48.0,FR,Student,198.0,63.0,0.23,Desktop,0.0,1,0,Active,Yes,45-54,0.3181818181818182,31.42857142857143,0.0
59,Other,22.0,DE,Free,59.0,51.0,0.42,Desktop,19.0,0,0,Active,No,18-24,0.864406779661017,11.568627450980394,0.37254901960784315
60,Other,17.0,IN,Student,95.0,79.0,0.53,Web,0.0,1,1,Churned,Yes,<18,0.8315789473684211,12.025316455696203,0.0
61,Female,25.0,UK,Premium,262.0,23.0,0.17,Web,0.0,1,0,Active,Yes,25-34,0.08778625954198473,113.91304347826087,0.0
62,Other,49.0,PK,Student,169.0,26.0,0.56,Mobile,0.0,1,0,Active,Yes,45-54,0.15384615384615385,65.0,0.0
63,Other,59.0,IN,Free,25.0,32.0,0.2,Mobile,38.0,0,0,Active,No,55-64,1.28,7.8125,1.1875
64,Female,45.0,CA,Family,55.0,67.0,0.51,Mobile,0.0,1,1,Churned,Yes,45-54,1.2181818181818183,8.208955223880597,0.0
65,Male,45.0,IN,Student,161.0,42.0,0.4,Desktop,0.0,1,1,Churned,Yes,45-54,0.2608695652173913,38.33333333333333,0.0
66,Other,21.0,FR,Family,77.0,42.0,0.56,Web,0.0,1,0,Active,Yes,18-24,0.5454545454545454,18.333333333333332,0.0
67,Male,45.0,DE,Free,152.0,32.0,0.49,Mobile,14.0,0,1,Churned,No,45-54,0.21052631578947367,47.5,0.4375
68,Female,45.0,UK,Free,156.0,51.0,0.14,Desktop,18.0,0,0,Active,No,45-54,0.3269230769230769,30.58823529411765,0.35294117647058826
69,Other,22.0,AU,Student,99.0,43.0,0.17,Desktop,0.0,1,0,Active,Yes,18-24,0.43434343434343436,23.02325581395349,0.0
70,Female,56.0,US,Free,181.0,40.0,0.21,Mobile,10.0,0,0,Active,No,55-64,0.22099447513812154,45.25,0.25
71,Other,51.0,AU,Student,265.0,81.0,0.36,Web,0.0,1,0,Active,Yes,45-54,0.30566037735849055,32.71604938271605,0.0
72,Female,22.0,AU,Family,131.0,70.0,0.35,Web,0.0,1,0,Active,Yes,18-24,0.5343511450381679,18.714285714285715,0.0
73,Other,33.0,CA,Student,19.0,68.0,0.32,Desktop,0.0,1,1,Churned,Yes,25-34,3.5789473684210527,2.794117647058824,0.0
74,Other,59.0,AU,Family,201.0,15.0,0.05,Mobile,0.0,1,0,Active,Yes,55-64,0.07462686567164178,134.0,0.0
75,Male,41.0,DE,Family,223.0,53.0,0.33,Web,0.0,1,0,Active,Yes,35-44,0.23766816143497757,42.07547169811321,0.0
76,Male,25.0,UK,Premium,111.0,83.0,0.19,Desktop,0.0,1,0,Active,Yes,25-34,0.7477477477477478,13.373493975903614,0.0
77,Male,41.0,FR,Family,81.0,6.0,0.47,Mobile,0.0,1,0,Active,Yes,35-44,0.07407407407407407,135.0,0.0
78,Other,30.0,FR,Family,124.0,73.0,0.43,Mobile,0.0,1,0,Active,Yes,25-34,0.5887096774193549,16.986301369863014,0.0
79,Male,23.0,US,Free,13.0,30.0,0.24,Mobile,32.0,0,0,Active,No,18-24,2.3076923076923075,4.333333333333333,1.0666666666666667
80,Female,47.0,PK,Premium,31.0,72.0,0.53,Desktop,0.0,1,1,Churned,Yes,45-54,2.3225806451612905,4.305555555555555,0.0
81,Male,34.0,AU,Premium,277.0,87.0,0.3,Web,0.0,1,0,Active,Yes,25-34,0.3140794223826715,31.839080459770116,0.0
82,Other,45.0,FR,Student,181.0,69.0,0.59,Web,0.0,1,0,Active,Yes,45-54,0.3812154696132597,26.231884057971012,0.0
83,Other,32.0,PK,Free,167.0,4.0,0.56,Mobile,35.0,0,0,Active,No,25-34,0.023952095808383235,417.5,8.75
84,Other,51.0,CA,Free,105.0,11.0,0.03,Web,29.0,0,0,Active,No,45-54,0.10476190476190476,95.45454545454545,2.6363636363636362
85,Other,21.0,FR,Student,202.0,79.0,0.45,Desktop,0.0,1,0,Active,Yes,18-24,0.3910891089108911,25.569620253164555,0.0
86,Female,20.0,IN,Family,284.0,38.0,0.23,Web,0.0,1,0,Active,Yes,18-24,0.13380281690140844,74.73684210526316,0.0
87,Male,21.0,US,Premium,125.0,82.0,0.43,Web,0.0,1,0,Active,Yes,18-24,0.656,15.243902439024392,0.0
88,Female,44.0,UK,Free,237.0,36.0,0.37,Web,20.0,0,0,Active,No,35-44,0.1518987341772152,65.83333333333333,0.5555555555555556
89,Other,50.0,PK,Family,99.0,15.0,0.15,Mobile,0.0,1,0,Active,Yes,45-54,0.15151515151515152,66.0,0.0
90,Other,52.0,DE,Student,224.0,49.0,0.38,Desktop,0.0,1,0,Active,Yes,45-54,0.21875,45.71428571428571,0.0
91,Male,43.0,UK,Free,195.0,80.0,0.17,Web,28.0,0,0,Active,No,35-44,0.41025641025641024,24.375,0.35
92,Female,41.0,PK,Premium,173.0,85.0,0.22,Web,0.0,1,0,Active,Yes,35-44,0.4913294797687861,20.352941176470587,0.0
93,Female,57.0,IN,Family,210.0,7.0,0.25,Web,0.0,1,0,Active,Yes,55-64,0.03333333333333333,300.0,0.0
94,Other,50.0,UK,Free,85.0,7.0,0.45,Desktop,44.0,0,0,Active,No,45-54,0.08235294117647059,121.42857142857143,6.285714285714286
95,Female,35.0,FR,Family,93.0,1.0,0.4,Mobile,0.0,1,0,Active,Yes,35-44,0.010752688172043012,930.0,0.0
96,Other,51.0,IN,Student,222.0,97.0,0.03,Desktop,0.0,1,1,Churned,Yes,45-54,0.4369369369369369,22.88659793814433,0.0
97,Male,34.0,CA,Premium,196.0,69.0,0.07,Web,0.0,1,0,Active,Yes,25-34,0.3520408163265306,28.405797101449274,0.0
98,Female,47.0,US,Family,215.0,13.0,0.02,Mobile,0.0,1,1,Churned,Yes,45-54,0.06046511627906977,165.3846153846154,0.0
99,Male,19.0,PK,Family,22.0,45.0,0.29,Web,0.0,1,1,Churned,Yes,18-24,2.0454545454545454,4.888888888888889,0.0
100,Female,30.0,UK,Student,283.0,13.0,0.02,Desktop,0.0,1,0,Active,Yes,25-34,0.045936395759717315,217.69230769230768,0.0
101,Female,27.0,FR,Free,40.0,15.0,0.5,Web,16.0,0,0,Active,No,25-34,0.375,26.666666666666668,1.0666666666666667
102,Male,25.0,DE,Student,251.0,91.0,0.12,Desktop,0.0,1,0,Active,Yes,25-34,0.36254980079681276,27.582417582417584,0.0
103,Female,47.0,AU,Family,240.0,61.0,0.56,Mobile,0.0,1,0,Active,Yes,45-54,0.25416666666666665,39.34426229508197,0.0
104,Male,33.0,US,Family,160.0,76.0,0.06,Web,0.0,1,0,Active,Yes,25-34,0.475,21.05263157894737,0.0
105,Male,46.0,CA,Free,114.0,11.0,0.24,Web,19.0,0,0,Active,No,45-54,0.09649122807017543,103.63636363636363,1.7272727272727273
106,Other,50.0,AU,Student,251.0,9.0,0.39,Web,0.0,1,0,Active,Yes,45-54,0.035856573705179286,278.88888888888886,0.0
107,Male,31.0,FR,Student,181.0,89.0,0.11,Desktop,0.0,1,1,Churned,Yes,25-34,0.49171270718232046,20.337078651685392,0.0
108,Female,45.0,FR,Premium,215.0,16.0,0.26,Web,0.0,1,0,Active,Yes,45-54,0.07441860465116279,134.375,0.0
109,Male,51.0,FR,Student,119.0,11.0,0.05,Desktop,0.0,1,0,Active,Yes,45-54,0.09243697478991597,108.18181818181817,0.0
110,Other,33.0,CA,Premium,224.0,34.0,0.11,Mobile,0.0,1,0,Active,Yes,25-34,0.15178571428571427,65.88235294117648,0.0
111,Male,42.0,DE,Premium,31.0,61.0,0.29,Mobile,0.0,1,0,Active,Yes,35-44,1.967741935483871,5.081967213114754,0.0
112,Male,16.0,CA,Family,17.0,10.0,0.27,Desktop,0.0,1,0,Active,Yes,<18,0.5882352941176471,17.0,0.0
113,Other,31.0,FR,Student,174.0,29.0,0.13,Desktop,0.0,1,1,Churned,Yes,25-34,0.16666666666666666,60.0,0.0
114,Male,40.0,AU,Family,31.0,48.0,0.33,Web,0.0,1,0,Active,Yes,35-44,1.5483870967741935,6.458333333333334,0.0
115,Male,57.0,FR,Student,84.0,40.0,0.58,Desktop,0.0,1,0,Active,Yes,55-64,0.47619047619047616,21.0,0.0
116,Female,17.0,CA,Free,198.0,31.0,0.07,Web,6.0,0,0,Active,No,<18,0.15656565656565657,63.87096774193548,0.1935483870967742
117,Male,31.0,CA,Student,272.0,40.0,0.12,Desktop,0.0,1,1,Churned,Yes,25-34,0.14705882352941177,68.0,0.0
118,Other,45.0,UK,Family,21.0,73.0,0.16,Web,0.0,1,0,Active,Yes,45-54,3.4761904761904763,2.8767123287671232,0.0
119,Male,59.0,PK,Family,251.0,47.0,0.14,Mobile,0.0,1,0,Active,Yes,55-64,0.18725099601593626,53.40425531914894,0.0
120,Other,49.0,PK,Family,95.0,81.0,0.36,Mobile,0.0,1,0,Active,Yes,45-54,0.8526315789473684,11.728395061728396,0.0
121,Male,59.0,IN,Student,169.0,20.0,0.18,Desktop,0.0,1,1,Churned,Yes,55-64,0.11834319526627218,84.5,0.0
122,Male,47.0,DE,Premium,35.0,20.0,0.32,Desktop,0.0,1,1,Churned,Yes,45-54,0.5714285714285714,17.5,0.0
123,Male,21.0,US,Free,32.0,34.0,0.52,Web,14.0,0,1,Churned,No,18-24,1.0625,9.411764705882353,0.4117647058823529
124,Female,28.0,DE,Free,55.0,67.0,0.53,Desktop,7.0,0,0,Active,No,25-34,1.2181818181818183,8.208955223880597,0.1044776119402985
125,Female,47.0,US,Family,120.0,26.0,0.48,Desktop,0.0,1,0,Active,Yes,45-54,0.21666666666666667,46.15384615384615,0.0
126,Female,46.0,IN,Free,11.0,67.0,0.4,Desktop,36.0,0,1,Churned,No,45-54,6.090909090909091,1.6417910447761193,0.5373134328358209
127,Female,20.0,US,Premium,194.0,52.0,0.2,Mobile,0.0,1,0,Active,Yes,18-24,0.26804123711340205,37.30769230769231,0.0
128,Female,34.0,PK,Premium,81.0,85.0,0.29,Web,0.0,1,0,Active,Yes,25-34,1.0493827160493827,9.529411764705882,0.0
129,Other,24.0,DE,Free,217.0,52.0,0.45,Web,23.0,0,0,Active,No,18-24,0.23963133640552994,41.730769230769226,0.4423076923076923
130,Male,40.0,US,Premium,11.0,11.0,0.42,Web,0.0,1,1,Churned,Yes,35-44,1.0,10.0,0.0
131,Male,48.0,UK,Free,72.0,35.0,0.53,Desktop,22.0,0,0,Active,No,45-54,0.4861111111111111,20.571428571428573,0.6285714285714286
132,Other,47.0,PK,Premium,162.0,94.0,0.29,Desktop,0.0,1,0,Active,Yes,45-54,0.5802469135802469,17.23404255319149,0.0
133,Female,33.0,IN,Family,271.0,57.0,0.36,Mobile,0.0,1,1,Churned,Yes,25-34,0.21033210332103322,47.54385964912281,0.0
134,Male,20.0,US,Premium,218.0,6.0,0.02,Desktop,0.0,1,1,Churned,Yes,18-24,0.027522935779816515,363.33333333333337,0.0
135,Other,55.0,DE,Family,94.0,24.0,0.3,Web,0.0,1,0,Active,Yes,55-64,0.2553191489361702,39.16666666666667,0.0
136,Male,58.0,CA,Student,295.0,72.0,0.43,Desktop,0.0,1,0,Active,Yes,55-64,0.2440677966101695,40.97222222222222,0.0
137,Other,41.0,US,Premium,286.0,35.0,0.42,Desktop,0.0,1,0,Active,Yes,35-44,0.12237762237762238,81.71428571428571,0.0
138,Other,53.0,US,Student,298.0,37.0,0.5,Mobile,0.0,1,0,Active,Yes,45-54,0.12416107382550336,80.54054054054053,0.0
139,Female,50.0,CA,Family,261.0,20.0,0.39,Desktop,0.0,1,1,Churned,Yes,45-54,0.07662835249042145,130.5,0.0
140,Other,55.0,US,Free,201.0,82.0,0.5,Desktop,27.0,0,1,Churned,No,55-64,0.4079601990049751,24.512195121951223,0.32926829268292684
141,Female,56.0,US,Free,40.0,84.0,0.56,Web,49.0,0,0,Active,No,55-64,2.1,4.761904761904762,0.5833333333333334
142,Other,18.0,AU,Premium,30.0,78.0,0.42,Mobile,0.0,1,0,Active,Yes,18-24,2.6,3.8461538461538463,0.0
143,Male,29.0,CA,Student,109.0,88.0,0.45,Web,0.0,1,1,Churned,Yes,25-34,0.8073394495412844,12.386363636363635,0.0
144,Female,28.0,UK,Premium,171.0,19.0,0.48,Mobile,0.0,1,1,Churned,Yes,25-34,0.1111111111111111,90.0,0.0
145,Male,24.0,PK,Family,223.0,31.0,0.09,Mobile,0.0,1,0,Active,Yes,18-24,0.13901345291479822,71.93548387096774,0.0
146,Other,44.0,AU,Family,52.0,17.0,0.2,Desktop,0.0,1,0,Active,Yes,35-44,0.3269230769230769,30.58823529411765,0.0
147,Other,18.0,IN,Family,195.0,94.0,0.49,Desktop,0.0,1,0,Active,Yes,18-24,0.48205128205128206,20.74468085106383,0.0
148,Other,40.0,PK,Premium,198.0,78.0,0.0,Desktop,0.0,1,0,Active,Yes,35-44,0.3939393939393939,25.384615384615387,0.0
149,Other,22.0,DE,Student,285.0,2.0,0.3,Desktop,0.0,1,0,Active,Yes,18-24,0.007017543859649123,1425.0,0.0
150,Male,34.0,FR,Premium,278.0,83.0,0.24,Desktop,0.0,1,0,Active,Yes,25-34,0.29856115107913667,33.493975903614455,0.0
151,Male,44.0,AU,Premium,251.0,57.0,0.37,Desktop,0.0,1,0,Active,Yes,35-44,0.22709163346613545,44.03508771929825,0.0
152,Male,58.0,US,Student,158.0,52.0,0.27,Mobile,0.0,1,0,Active,Yes,55-64,0.3291139240506329,30.384615384615383,0.0
153,Female,41.0,PK,Family,14.0,41.0,0.59,Web,0.0,1,0,Active,Yes,35-44,2.9285714285714284,3.414634146341464,0.0
154,Female,52.0,UK,Premium,280.0,81.0,0.27,Desktop,0.0,1,1,Churned,Yes,45-54,0.2892857142857143,34.567901234567906,0.0
155,Male,26.0,IN,Student,257.0,14.0,0.13,Web,0.0,1,0,Active,Yes,25-34,0.054474708171206226,183.57142857142858,0.0
156,Other,42.0,CA,Family,21.0,76.0,0.56,Web,0.0,1,1,Churned,Yes,35-44,3.619047619047619,2.763157894736842,0.0
157,Other,27.0,PK,Free,237.0,27.0,0.16,Web,40.0,0,0,Active,No,25-34,0.11392405063291139,87.77777777777777,1.4814814814814814
158,Other,48.0,DE,Free,224.0,53.0,0.07,Mobile,43.0,0,0,Active,No,45-54,0.23660714285714285,42.26415094339623,0.8113207547169812
159,Other,24.0,AU,Family,216.0,76.0,0.28,Mobile,0.0,1,0,Active,Yes,18-24,0.35185185185185186,28.42105263157895,0.0
160,Other,34.0,CA,Premium,137.0,97.0,0.32,Web,0.0,1,0,Active,Yes,25-34,0.708029197080292,14.123711340206187,0.0
161,Other,28.0,DE,Free,209.0,84.0,0.53,Web,28.0,0,0,Active,No,25-34,0.4019138755980861,24.88095238095238,0.3333333333333333
162,Female,17.0,FR,Free,36.0,30.0,0.19,Mobile,43.0,0,1,Churned,No,<18,0.8333333333333334,12.0,1.4333333333333333
163,Other,50.0,PK,Free,95.0,50.0,0.49,Desktop,31.0,0,1,Churned,No,45-54,0.5263157894736842,19.0,0.62
164,Female,35.0,AU,Premium,298.0,25.0,0.11,Mobile,0.0,1,1,Churned,Yes,35-44,0.08389261744966443,119.2,0.0
165,Male,20.0,DE,Family,224.0,51.0,0.23,Desktop,0.0,1,1,Churned,Yes,18-24,0.22767857142857142,43.92156862745098,0.0
166,Female,50.0,PK,Free,205.0,43.0,0.48,Desktop,47.0,0,0,Active,No,45-54,0.2097560975609756,47.674418604651166,1.0930232558139534
167,Male,23.0,FR,Student,95.0,31.0,0.37,Web,0.0,1,0,Active,Yes,18-24,0.3263157894736842,30.64516129032258,0.0
168,Other,20.0,UK,Free,289.0,17.0,0.28,Desktop,35.0,0,0,Active,No,18-24,0.058823529411764705,170.0,2.0588235294117645
169,Male,51.0,CA,Premium,168.0,28.0,0.54,Web,0.0,1,0,Active,Yes,45-54,0.16666666666666666,60.00000000000001,0.0
170,Female,18.0,PK,Free,211.0,48.0,0.48,Mobile,23.0,0,1,Churned,No,18-24,0.22748815165876776,43.958333333333336,0.4791666666666667
171,Male,29.0,DE,Premium,63.0,99.0,0.38,Mobile,0.0,1,0,Active,Yes,25-34,1.5714285714285714,6.363636363636363,0.0
172,Male,39.0,DE,Free,124.0,83.0,0.52,Mobile,35.0,0,0,Active,No,35-44,0.6693548387096774,14.939759036144578,0.42168674698795183
173,Other,51.0,CA,Family,275.0,56.0,0.05,Web,0.0,1,0,Active,Yes,45-54,0.20363636363636364,49.10714285714286,0.0
174,Male,24.0,PK,Student,120.0,38.0,0.11,Mobile,0.0,1,0,Active,Yes,18-24,0.31666666666666665,31.578947368421055,0.0
175,Male,20.0,DE,Free,64.0,20.0,0.16,Mobile,20.0,0,1,Churned,No,18-24,0.3125,32.0,1.0
176,Female,57.0,UK,Premium,121.0,86.0,0.08,Web,0.0,1,1,Churned,Yes,55-64,0.7107438016528925,14.069767441860465,0.0
177,Other,16.0,AU,Free,184.0,12.0,0.2,Desktop,15.0,0,0,Active,No,<18,0.06521739130434782,153.33333333333334,1.25
178,Male,18.0,PK,Family,219.0,54.0,0.06,Web,0.0,1,0,Active,Yes,18-24,0.2465753424657534,40.55555555555555,0.0
179,Male,16.0,DE,Free,184.0,40.0,0.01,Mobile,9.0,0,0,Active,No,<18,0.21739130434782608,46.0,0.225
180,Female,50.0,UK,Family,30.0,37.0,0.25,Desktop,0.0,1,1,Churned,Yes,45-54,1.2333333333333334,8.108108108108107,0.0
181,Male,23.0,DE,Free,55.0,46.0,0.41,Desktop,7.0,0,0,Active,No,18-24,0.8363636363636363,11.956521739130435,0.15217391304347827
182,Female,53.0,AU,Premium,38.0,4.0,0.09,Mobile,0.0,1,0,Active,Yes,45-54,0.10526315789473684,95.0,0.0
183,Male,58.0,CA,Premium,281.0,58.0,0.16,Desktop,0.0,1,0,Active,Yes,55-64,0.20640569395017794,48.44827586206897,0.0
184,Female,31.0,DE,Premium,140.0,57.0,0.35,Mobile,0.0,1,1,Churned,Yes,25-34,0.40714285714285714,24.561403508771928,0.0
185,Female,19.0,US,Student,130.0,17.0,0.35,Desktop,0.0,1,0,Active,Yes,18-24,0.13076923076923078,76.47058823529412,0.0
186,Female,36.0,US,Student,238.0,82.0,0.35,Web,0.0,1,1,Churned,Yes,35-44,0.3445378151260504,29.02439024390244,0.0
187,Other,19.0,PK,Premium,295.0,53.0,0.55,Web,0.0,1,1,Churned,Yes,18-24,0.17966101694915254,55.66037735849057,0.0
188,Other,26.0,IN,Free,265.0,31.0,0.41,Web,38.0,0,0,Active,No,25-34,0.1169811320754717,85.48387096774194,1.2258064516129032
189,Other,16.0,US,Student,179.0,80.0,0.6,Desktop,0.0,1,0,Active,Yes,<18,0.44692737430167595,22.375,0.0
190,Other,49.0,AU,Free,198.0,4.0,0.1,Desktop,36.0,0,0,Active,No,45-54,0.020202020202020204,495.0,9.0
191,Female,55.0,UK,Premium,180.0,17.0,0.08,Web,0.0,1,0,Active,Yes,55-64,0.09444444444444444,105.88235294117648,0.0
192,Other,21.0,DE,Student,267.0,89.0,0.52,Web,0.0,1,0,Active,Yes,18-24,0.3333333333333333,30.0,0.0
193,Other,48.0,CA,Free,126.0,22.0,0.58,Mobile,45.0,0,0,Active,No,45-54,0.1746031746031746,57.272727272727266,2.0454545454545454
194,Female,38.0,IN,Family,233.0,94.0,0.29,Web,0.0,1,1,Churned,Yes,35-44,0.4034334763948498,24.78723404255319,0.0
